Property,MAE,RMSE,R2
Log VP,0.6038579227697515,0.9415444843732013,0.9298806480285984
MP,29.840211485358484,41.620726185107934,0.8303991862974083
BP,10.363527852106632,16.185252421358896,0.9634484291443914
LogBCF,0.6215039370248192,0.7928398961170443,0.6196051514417138
LogS,0.55446478101858,0.7399959177239213,0.8964527853121432
LogP,0.28182294697865945,0.40299576800224907,0.9514281053352082
